Nama UMKM,Produk Utama,Total Aset (Juta),Penjualan Rata-rata Per Tahun (Juta),Jumlah Tenaga Kerja,Nama Badan Hukum,Kategori,Sistem Penjualan,Target Pasar,Proyeksi Pertumbuhan (%/tahun),Kebutuhan Biaya Kredit (Juta),Nilai Aset Jaminan Kredit,Jumlah Dokumen Kredit,Label
Cv. Anugrah Sejahtera,Makanan Olahan Daging,6,168,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,6,8,TIDAK LAYAK
UD Bengkel Mustika Jaya,Teralis,200,360,3,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,100,200,9,LAYAK
Toko Buah Ifabel,Buah,220,720,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,60,220,7,LAYAK
Toko Buah Farida,Buah,107,600,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,18,107,7,LAYAK
Toko Sepeda Iwan,Sepeda,320,360,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,150,320,8,LAYAK
Toko Nawir Buah,Buah-Buahan,40,180,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,10,40,6,TIDAK LAYAK
Pengepul Kopi,Kopi,1000,2400,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,100,1000,5,LAYAK
Bengkel Roda Jaya,Onderdil Motor,521,96,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 50 %,0,30,521,6,TIDAK LAYAK
UD Thuba Bangunan,Alat-Alat Bangunan,89,180,1,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,89,7,TIDAK LAYAK
Ud Cintami,Daging Ayam,75,360,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,50,75,8,LAYAK
UD Prima Tani,Herbisida Dan Alat Tani,230,408,1,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,50,230,8,LAYAK
Toko Sepatu Budi,Sepatu,240,60,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,26,240,5,TIDAK LAYAK
Toko Selka,Warung Manisan,241,87,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,241,6,TIDAK LAYAK
Lita Ayam Potong,Daging,185,36,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,8,185,5,TIDAK LAYAK
Toko Pakaian Peni,Pakaian,100,600,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,70,100,4,LAYAK
Toko Rifqi,Peralatan Rumah Tangga,335,120,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,80,335,4,TIDAK LAYAK
Bumbu Wenti,Bumbu Dan Telur,25,594,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,25,7,TIDAK LAYAK
Restu Ibu Mini Market,Barang Harian,40,590,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,40,7,TIDAK LAYAK
Toko Jovan Mini Market,Barang Harian,593,396,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,593,7,LAYAK
UD Skb Bangunan,Bahan Bangunan,100,3800,4,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,100,9,LAYAK
Tb Sinar Andalas,Material Bangunan,6600,4200,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,75,6600,9,LAYAK
Toko Sembako Mutia,Sembako,348,360,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,348,6,LAYAK
Villa Farfum,Parfum,16,546,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,18,8,TIDAK LAYAK
Toko Sepatu Fatimah,Sepatu,170,90,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,170,7,TIDAK LAYAK
Toko Aupa,Pecah Belah,65,84,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,65,6,TIDAK LAYAK
Iqbal Variasi Motor,Variasi Motor,1400,114,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,5,1400,6,TIDAK LAYAK
Ira Plastik,Plastik,303,540,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,27,303,7,LAYAK
Toko Manisan Iwen,Sembako,105,720,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,105,7,LAYAK
UD Kios Buah,Buah,860,900,1,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 80 %,0,49,860,7,LAYAK
UD Egi Mainan,Mainan,115,240,1,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,115,7,TIDAK LAYAK
Kios Sumarsih,Makanan,34,165,2,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,34,7,TIDAK LAYAK
Kios Ija,Sembako,290,338,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,15,290,9,LAYAK
Rental Novan,Rental Mobil,200,60,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,30,200,7,TIDAK LAYAK
Kios Yoga Art,Sembako,50,300,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,50,8,LAYAK
Kios Lanane,Sembako,8,85,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,100,6,TIDAK LAYAK
Kios Rahman,Sembako. Es Batu. Sarana Nelayan,100,300,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,100,6,LAYAK
Haryati,Ikat Ranbut. Sendal. Sepatu,4,40,2,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,4,5,TIDAK LAYAK
Kios Naila,Sembako,30,60,2,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,19,30,6,TIDAK LAYAK
Kios Abdil,Sembako,13,180,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,45,13,7,TIDAK LAYAK
Kios Asri,Mainan Anak,65,240,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,18,65,6,TIDAK LAYAK
Kios Perintis,Pakaian,200,486,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,250,200,8,LAYAK
Kios Bayu,Bbm,88,600,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,50,88,12,LAYAK
Toko Tas Dan Pakaian,Tas Dan Pakaian,58,236,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,100,58,6,TIDAK LAYAK
Hajuma,Daging Babi,26,360,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,26,4,TIDAK LAYAK
Kios Diki,Sembako,312,540,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,312,8,LAYAK
Kios Nanik,Sembako,300,480,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,300,8,LAYAK
Sumber Wangi,Sembako,424,270,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,45,424,9,TIDAK LAYAK
Sinar Rinjani,Bbm,3,360,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 30 %,0,113,3,5,TIDAK LAYAK
Toko Berkah,Pakaian,30,144,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,50,30,8,TIDAK LAYAK
Kios Yaqob,Sembako,110,300,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,38,110,6,LAYAK
UD Tb. Pinang Jaya,Bahan Bangunan,1603,3780,4,Usaha Dagang (UD),Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,90,1603,10,LAYAK
Kharisma Gorden,Kain Gorden,66,540,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,40,66,7,LAYAK
Warung Nanas Bak Herfi,Jual Beli Nanas,145,768,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,40,145,7,LAYAK
Sahabat Plastik,Plastik,630,720,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,160,630,9,LAYAK
Toko Sepatu Fai'z,Sendal Dan Sepatu Serta Tas,1007,840,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,400,1007,10,LAYAK
Warung Lazirudin,Sembako,165,612,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,200,165,8,LAYAK
Warung Usni,Barang Harian Rumah Tangga,180,18,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,12,180,6,TIDAK LAYAK
Toko Andika Tani Makmur,Toko Saprodi,760,480,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,100,76,9,LAYAK
Pengepul Ikan Pak Rt,Ikan. Cumi. Udang,1100,480,4,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 80 %,0,80,1100,7,LAYAK
Pedagang Ikan Pak Taufik,Ikan Segar,90,576,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,10,90,7,LAYAK
Pengepul Hasil Laut Iwan,Ikan Kakap. Udang. Cumi,100,1440,5,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 50 %,0,80,100,8,LAYAK
Pengepul Hasil Laut Tiga Samudra,Udang Rebon Terasi Udang,860,6912,6,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 20 %,0,100,860,8,LAYAK
Yoga Motor,Perbaikan Dan Over Houl Motor,180,115,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,40,180,8,TIDAK LAYAK
Toko Sawit Jarwo,Tandan Buah Sawit,2360,5400,9,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,450,2360,9,LAYAK
Toko Boby,Sembako,540,2400,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,150,540,8,LAYAK
Aina Elpiji,Gas Lpg 3 Kg,1400,420,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,80,1400,9,LAYAK
Meutia Tri Saudara,Photocopy,1620,300,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 95 %,0,180,1620,6,LAYAK
Toko Getah Sakti,Getah Alam,640,470,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Distributor,Memenuhi Order Dari Distributor/Eksportir/Trader 100 %,0,80,640,7,LAYAK
Toko,Toko Kelontong,430,252,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,7,430,8,TIDAK LAYAK
Raja Tani,Pupuk. Bibit. Obat. Pestisida,630,300,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,50,630,8,LAYAK
Reyhan Motor,Reparasi Motor,510,189,4,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,80,510,7,TIDAK LAYAK
Toko Bangunan Marangin Indah,Bahan Bangunan,4310,2520,7,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %,0,800,4310,8,LAYAK
Toko Manisan Alex,Sembako,275,480,5,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,60,275,4,LAYAK
Tb.Semoga Berkah,Toko Bangunan,260,900,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,200,260,7,LAYAK
Nasi Uduk Ninin,Nasi Uduk,311,228,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,35,311,6,TIDAK LAYAK
Warung Soto Lengkap,Soto Ayam,409,62,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,19,409,6,TIDAK LAYAK
Rujak Abel,Rujak Buah,312,108,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 95 %,0,18,312,6,TIDAK LAYAK
Bubur Alsyel,Bubur Ayam,14,102,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,22,14,5,TIDAK LAYAK
Rumah Makan Jahra,Nasi Dan Lauk Pauk,12,108,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,22,12,5,TIDAK LAYAK
Bengkel Dachlan,Service Motor,458,60,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 10 %,0,19,458,5,TIDAK LAYAK
Toko Sri,Sembako,2400,348,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,38,2400,6,LAYAK
Toko Edi,Bahan Sembako,2300,276,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,19,2300,6,TIDAK LAYAK
Candra Cell,Pulsa. Aksesoris Hp Dan Hp,500,240,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 60 %,0,36,500,4,TIDAK LAYAK
Herawati Cell,Kartu Perdana Dan Pulsa,630,108,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,24,630,6,TIDAK LAYAK
Counter Jupiter,Ksesoris Hp. Pulsa Dan Kartu,500,228,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 70 %,0,45,500,5,TIDAK LAYAK
Rusmawati,Pempek,180,66,5,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,36,180,5,TIDAK LAYAK
Hera Bengkel,Jasa Service Motor,300,60,3,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 20 %,0,45,300,6,TIDAK LAYAK
Foto Copy Septi,Foto Copy Dan Atk,300,204,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 20 %,0,38,300,4,TIDAK LAYAK
Sapi Madura,Sapi Madura,3000,800,4,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 90 %,0,130,3000,4,LAYAK
Bengkel Ko Affen,Service Motor,300,54,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 10 %,0,19,300,5,TIDAK LAYAK
Lup-Lup Bubble Drink,Bubble Drink Aneka Rasa,408,204,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,16,408,6,TIDAK LAYAK
Toko Intan Kacamata,Frame. Lensa Dan Pembirsih Kacamata,15,54,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 45 %,0,29,15,5,TIDAK LAYAK
Nasi Uduk Ninin,Nasi Uduk,311,228,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,35,311,6,TIDAK LAYAK
Warung Soto Lengkap,Soto Ayam,409,62,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,19,409,6,TIDAK LAYAK
Buah Enak,Buah-Buahan,260,900,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,25,260,8,LAYAK
Bakso Dan Mie Ayam Buk Endang,Bakso Dan Mie Ayam,7,156,2,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,0,7,4,TIDAK LAYAK
Butik Karmila,Pakaian. Sandal. Sepatu.Dll,12,72,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Golongan Menengah (penghasilan Rp 5 sd 10 juta/bulan) 100 %,0,46,12,4,TIDAK LAYAK
Toko Defti,Sembako Dan Bensin,7,84,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,0,7,5,TIDAK LAYAK
Pengepul Ikan Maryadi,Ikan. Cumi Dan Kepiting,16,230,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail dan Distributor,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 30 %,0,0,16,5,TIDAK LAYAK
Toko Kelontong Bacok,Barang Barang Sembako,10,34,1,Perorangan,Perdagangan Besar Dan Eceran Reparasi Dan Perawatan Mobil Dan Sepeda Motor,Retail,Masyarakat Gol Bawah (penghasilan sd 5 juta/bulan) 100 %,0,0,10,5,TIDAK LAYAK
